51 100 13
79 103 12
104 92 12
108 87 12
108 82 12
104 72 12
88 57 12
93 75 13
93 78 12
91 82 12
90 84 12
90 87 12
89 90 12
89 94 12
90 93 12
91 89 12
92 86 12
92 83 12
94 77 12
93 75 13
96 80 12
97 83 12
97 87 12
96 89 12
92 92 12
89 94 12
93 89 12
94 85 12
94 77 12
85 81 13
85 83 12
86 84 12
86 82 12
85 81 12
85 86 13
84 86 12
83 88 12
85 86 12
67 54 13
65 60 12
64 67 12
66 74 12
67 74 12
66 67 12
66 60 12
67 54 12
69 56 13
68 61 12
67 67 12
68 70 12
71 73 12
69 69 12
69 64 12
71 60 12
69 56 12
71 60 13
74 64 12
74 68 12
71 72 12
73 68 12
73 64 12
70 61 12
70 63 13
71 63 12
73 65 12
73 68 12
71 69 12
70 69 12
69 68 12
70 65 13
70 66 12
71 66 12
71 65 12
70 65 12
64 87 13
60 91 12
59 94 12
58 98 12
60 100 12
59 97 12
62 92 12
64 87 12
69 86 13
65 88 12
63 93 12
62 100 12
65 98 12
64 95 12
64 90 12
69 86 13
70 91 12
68 95 12
65 98 12
65 97 12
67 95 12
69 91 12
69 86 12
65 88 13
66 88 12
68 89 12
69 91 12
67 94 12
65 94 12
64 93 12
65 90 13
65 91 12
66 91 12
66 90 12
65 90 12
61 101 13
50 104 12
36 100 12
24 90 12
17 75 12
16 61 12
25 43 12
44 33 12
60 33 12
79 40 12
57 38 12
41 45 12
24 62 12
17 75 12
51 100 13
57 95 12
63 80 12
62 72 12
58 78 12
62 65 12
65 49 12
52 45 13
65 49 12
88 65 12
87 50 12
79 40 12
17 75 13
5 67 12
0 45 12
4 23 12
25 11 12
58 17 12
110 14 12
135 25 12
160 32 12
164 40 12
162 44 12
155 46 12
143 45 12
151 43 12
149 40 12
125 48 12
118 55 12
119 51 13
117 58 12
113 62 12
104 62 12
115 61 13
115 67 12
111 71 12
104 72 12
121 52 13
133 50 12
145 51 12
131 56 13
145 51 12
170 47 12
245 41 12
255 42 12
262 46 12
271 58 12
282 81 12
281 78 13
287 81 12
280 76 13
285 74 12
288 75 12
278 73 13
282 75 12
283 79 13
288 75 12
293 74 12
301 77 12
299 76 13
306 75 12
313 76 12
314 77 12
313 78 12
309 78 12
309 77 12
311 76 12
309 78 13
304 79 12
300 81 12
295 79 12
302 80 13
313 83 12
316 85 12
312 85 12
311 84 12
311 83 12
313 83 12
312 85 13
300 84 12
292 82 12
300 84 13
305 88 12
306 90 12
302 89 12
301 88 12
302 87 12
305 88 12
302 89 13
289 85 12
295 79 13
280 92 12
275 91 12
244 68 12
251 64 13
244 68 12
220 73 12
170 89 12
164 92 12
157 92 12
220 73 13
243 73 12
261 81 12
270 95 12
273 109 12
270 125 12
259 143 12
244 160 12
227 177 12
208 193 12
196 206 12
214 202 13
198 210 12
189 213 12
182 213 12
176 211 12
172 206 12
170 199 12
172 190 12
182 167 12
197 141 12
209 125 12
236 105 12
180 122 13
185 126 12
187 137 12
191 150 12
208 193 13
214 202 12
222 216 12
228 223 12
234 226 12
240 226 12
247 222 12
276 192 12
305 164 12
318 155 12
330 150 12
349 137 12
347 139 13
360 149 12
360 140 12
357 129 12
353 123 12
350 121 12
335 120 12
349 137 13
339 123 12
324 110 12
322 111 12
322 113 12
324 116 12
330 121 12
341 126 12
337 124 13
338 127 12
335 120 13
335 116 12
349 107 12
348 106 12
340 110 12
324 110 12
341 126 13
334 128 12
330 128 12
325 126 12
320 123 12
316 122 12
312 124 12
310 127 12
308 134 12
305 140 12
290 150 12
275 159 12
257 168 12
249 174 12
244 179 12
293 148 13
289 142 12
285 142 12
282 143 12
274 150 12
266 155 12
241 163 12
248 205 13
247 194 12
241 163 12
90 99 13
95 103 12
94 100 13
98 114 12
105 128 12
108 132 12
108 134 12
110 135 12
111 134 12
108 132 12
105 128 13
117 134 12
111 134 13
117 134 12
131 130 12
143 122 12
99 95 13
114 100 12
130 108 12
124 97 13
130 104 12
137 115 12
143 122 12
160 130 12
167 132 12
169 134 12
171 133 12
171 131 12
167 132 12
160 130 13
175 126 12
171 131 13
175 126 12
181 120 12
186 110 12
188 100 12
186 89 12
181 121 13
190 121 12
200 118 12
210 112 12
222 103 12
195 120 13
200 122 12
183 122 13
190 125 12
207 127 12
233 107 13
232 103 12
365 0 13

